danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.686,0.585,0,-6.675,1,0.0457,0.388,0.0,0.149,0.251,76.422,audio_features,0eHncQ4nNU9iWyCxxkUnLi,spotify:track:0eHncQ4nNU9iWyCxxkUnLi,https://api.spotify.com/v1/tracks/0eHncQ4nNU9iWyCxxkUnLi,https://api.spotify.com/v1/audio-analysis/0eHncQ4nNU9iWyCxxkUnLi,203040,4
0.886,0.623,7,-10.874,1,0.0489,0.57,0.0,0.096,0.966,110.862,audio_features,2pUnWateQLlJ0aegxYrMN2,spotify:track:2pUnWateQLlJ0aegxYrMN2,https://api.spotify.com/v1/tracks/2pUnWateQLlJ0aegxYrMN2,https://api.spotify.com/v1/audio-analysis/2pUnWateQLlJ0aegxYrMN2,246549,4
0.314,0.904,8,-7.243,0,0.238,0.00012,0.0574,0.61,0.354,121.316,audio_features,0tJ8E1CMjejH88rBzYwR40,spotify:track:0tJ8E1CMjejH88rBzYwR40,https://api.spotify.com/v1/tracks/0tJ8E1CMjejH88rBzYwR40,https://api.spotify.com/v1/audio-analysis/0tJ8E1CMjejH88rBzYwR40,210133,4
0.482,0.706,2,-6.437,1,0.0428,0.407,0.0167,0.102,0.371,162.915,audio_features,1PFLfHmPWglfYRG6BHPeBG,spotify:track:1PFLfHmPWglfYRG6BHPeBG,https://api.spotify.com/v1/tracks/1PFLfHmPWglfYRG6BHPeBG,https://api.spotify.com/v1/audio-analysis/1PFLfHmPWglfYRG6BHPeBG,92773,4
0.68,0.832,0,-4.152,0,0.135,0.0802,1.67e-05,0.954,0.959,127.197,audio_features,2dsDhgGEGlb6mPIRkRKGvj,spotify:track:2dsDhgGEGlb6mPIRkRKGvj,https://api.spotify.com/v1/tracks/2dsDhgGEGlb6mPIRkRKGvj,https://api.spotify.com/v1/audio-analysis/2dsDhgGEGlb6mPIRkRKGvj,271800,4
0.449,0.648,1,-9.336,0,0.143,0.139,0.0,0.22,0.417,134.787,audio_features,4gUUMrSpO9BjQ6kyJEuiQf,spotify:track:4gUUMrSpO9BjQ6kyJEuiQf,https://api.spotify.com/v1/tracks/4gUUMrSpO9BjQ6kyJEuiQf,https://api.spotify.com/v1/audio-analysis/4gUUMrSpO9BjQ6kyJEuiQf,254067,4
0.658,0.868,5,-6.36,0,0.0941,0.000136,0.6,0.101,0.732,132.006,audio_features,0Brj2GhS3oQGw3RgGqcasO,spotify:track:0Brj2GhS3oQGw3RgGqcasO,https://api.spotify.com/v1/tracks/0Brj2GhS3oQGw3RgGqcasO,https://api.spotify.com/v1/audio-analysis/0Brj2GhS3oQGw3RgGqcasO,465467,4
0.668,0.338,5,-23.625,0,0.0408,0.558,0.871,0.346,0.173,130.323,audio_features,4qPpu4FKdvhMA3Rqm1ycVh,spotify:track:4qPpu4FKdvhMA3Rqm1ycVh,https://api.spotify.com/v1/tracks/4qPpu4FKdvhMA3Rqm1ycVh,https://api.spotify.com/v1/audio-analysis/4qPpu4FKdvhMA3Rqm1ycVh,140867,4
0.604,0.421,10,-10.969,1,0.0351,0.89,0.453,0.215,0.649,129.56,audio_features,3ivRwUa0oLay33XiQBU7Kt,spotify:track:3ivRwUa0oLay33XiQBU7Kt,https://api.spotify.com/v1/tracks/3ivRwUa0oLay33XiQBU7Kt,https://api.spotify.com/v1/audio-analysis/3ivRwUa0oLay33XiQBU7Kt,191960,4
0.421,0.845,4,-5.157,1,0.0661,0.00122,5.4e-05,0.408,0.209,143.977,audio_features,7Jk1XkjXkEjsJFnKQS6qki,spotify:track:7Jk1XkjXkEjsJFnKQS6qki,https://api.spotify.com/v1/tracks/7Jk1XkjXkEjsJFnKQS6qki,https://api.spotify.com/v1/audio-analysis/7Jk1XkjXkEjsJFnKQS6qki,226027,4
