acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
1.13e-06,0.42,332182.0,0.915,2iLQ7wYAZLANjQ2NLqj3hR,0.883,6.0,0.126,-5.505,1.0,0.0438,109.948,4.0,0.358,0spHbv2fw49lDMkbOAdaqX,WWE,Gallantry (Defining Moment Remix) [Drew McIntyre]
0.256,0.965,198282.0,0.508,3ZqYV9HnAVVdMB4TjO8RBx,0.0,2.0,0.125,-5.94,1.0,0.188,123.082,4.0,0.19,5bWUlnPx9OYKsLiUJrhCA1,Jon Z,Te Llame Borracho
1.35e-05,0.354,292794.0,0.735,02mR2D5tNN6Eb7qCspf0Hj,0.583,9.0,0.307,-6.067,0.0,0.0387,163.676,4.0,0.212,0spHbv2fw49lDMkbOAdaqX,WWE,Catch Your Breath (Finn Bálor)
0.000896,0.491,298038.0,0.937,5lACqAPUAL5MrCdmsVfAVX,0.0453,1.0,0.102,-5.46,0.0,0.0382,95.007,4.0,0.797,65mMkD9WW39U9Yadv0dWUF,Rolling Blackouts Coastal Fever,Cars In Space
2.8e-06,0.527,229157.0,0.706,7lQL3c2HBuNm0CwnJcBCSS,0.804,1.0,0.424,-5.052,0.0,0.0646,89.022,4.0,0.392,0spHbv2fw49lDMkbOAdaqX,WWE,Fight (Kevin Owens)
0.828,0.537,35826.0,0.522,5fVZfi5vBVlpgFuQ2Hsjpx,0.974,8.0,0.139,-11.298,1.0,0.0731,112.007,4.0,0.88,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Colder Hands
0.000517,0.474,294244.0,0.689,6wbhM6c1wTzDaVpqyf7Wat,0.0315,10.0,0.182,-5.214,0.0,0.103,172.586,4.0,0.322,0spHbv2fw49lDMkbOAdaqX,WWE,Sky's the Limit (Remix) [Sasha Banks]
0.00371,0.444,228511.0,0.943,3EUTBXsIqtgriy8mEFsU7P,2.16e-06,8.0,0.0833,-4.857,1.0,0.0561,94.081,4.0,0.533,0spHbv2fw49lDMkbOAdaqX,WWE,Glorious Domination (Bobby Roode)
0.55,0.509,178207.0,0.272,5y3ubIWHzpbfBYxHsNLXLL,0.601,4.0,0.0537,-21.874,0.0,0.0298,90.026,4.0,0.159,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Dilemma in My Head
0.253,0.594,169482.0,0.416,19h1z74djWFWt3Pg8jWTSp,0.658,9.0,0.326,-20.099,1.0,0.0314,140.035,4.0,0.78,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Sword Is Drawn
2.06e-05,0.278,345000.0,0.972,1dXQdiZLlecP7UNVGjiU7P,0.0,1.0,0.0682,-5.2,0.0,0.123,184.058,4.0,0.221,0spHbv2fw49lDMkbOAdaqX,WWE,No One Will Survive (Ciampa)
0.201,0.884,236813.0,0.702,0hvi6FQl4h3zVGC2DVpohG,0.0,0.0,0.0886,-7.96,0.0,0.1,96.005,4.0,0.803,01nUdqwuIHCHLZNP2TvYVF,Boy Wonder CF,Atrévete (feat. Wisin y Yandel & Franco el Gorilla)
0.613,0.584,75819.0,0.538,2J9WD8xF61qjfO6ADENP4z,0.568,1.0,0.133,-15.062,0.0,0.0336,132.048,4.0,0.781,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Sight Beneath
0.000527,0.336,224526.0,0.784,0pAe3wp6qI0q3BrpQo6nFa,0.574,2.0,0.0957,-4.822,1.0,0.0406,85.687,4.0,0.607,65mMkD9WW39U9Yadv0dWUF,Rolling Blackouts Coastal Fever,Talking Straight
0.987,0.622,163866.0,0.0737,60oKmHHSTchygXTWKFNzdh,0.846,10.0,0.117,-26.043,1.0,0.0361,140.034,4.0,0.572,139eVtrAAUltYvtDR325fk,CFB Ice Cream,Inner Circle Arrival
0.00355,0.639,300769.0,0.857,04qWdvB1jkdmkAE0XDRvvk,0.0,7.0,0.322,-5.295,1.0,0.0361,78.056,4.0,0.582,0spHbv2fw49lDMkbOAdaqX,WWE,Done With That (Day One Remix) [The Usos]
0.00463,0.936,200359.0,0.427,7cwsyOrm3bIjQsXdS2ZbCX,0.0,1.0,0.0849,-8.869,1.0,0.416,129.961,4.0,0.674,2DyAiHlstdomxE0Mp46TY2,Cfn58babyt,Knockout
