artist_id,artist_name,genre,id,name,release_date
09hNSPPOxDop4FRdr6UEnq,Dokken,Rock,1j06ieEC2BOCM0fTmYhn2l,Alone Again,1984-09-11
2CLVPk9FcywjClBcTvWPkT,Loverboy,Rock,35k31HZI4z9PbBOioaI4dZ,Working for the Weekend,1981
14pVkFUHDL207LzLHtSA18,Pantera,Rock,7fcfNW0XxTWlwVlftzfDOR,Walk,1992-02-21
43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,Rock,0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,1980-08-05
0iHb0mCbqZTYeb4y9Pirrd,Temple Of The Dog,Rock,0W7AbEauB7cP4pidLclApe,Hunger Strike,1990-01-01
0zfT626RwO6zN3RDYeRit5,Black Label Society,Rock,3tS1VMpxp9bLn46Cyh09el,Stillborn,2003-04-22
530Sdm7eqqzWBdDmILMgnu,Robert Palmer,Rock,5izGeTxueiFX1UPFGohY9w,Addicted To Love,1985-01-01
3vbKDsSS70ZX9D2OcvbZmS,Beck,Rock,5PntSbMHC1ud6Vvl8x56qd,Loser,1994-03-01
11wRdbnoYqRddKBrpHt4Ue,Kasabian,Rock,0Ln5tJyLX5qusquBOtq7wf,Fire,2009
0ECwFtbIWEVNwjlrfc6xoL,Eagles,Rock,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1976-12-08
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,Rock,20I8RduZC2PWMWTDCZuuAN,Take Me Out,2004-02-16
6mdiAmATAx73kdxrNrnlao,Iron Maiden,Rock,4OROzZUy6gOWN4UGQVaZMF,The Trooper - 2015 Remaster,1983
1CD77o9fbdyQFrHnUPUEsF,Traffic,Rock,5CGpPUcUahMuLzkNK9ZgPP,Dear Mr. Fantasy,1967-12-08
6w6z8m4WXX7Tub4Rb6Lu7R,Jethro Tull,Rock,5UuikgHTxSRFRnC0zXx10i,Aqualung,1971-03-19
6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,Rock,0PdM2a6oIjqepoEfcJo0RO,Pour Some Sugar On Me - Remastered 2017,1987-08-03
1JHzh1ETQTMoFb2CgncnTL,April Wine,Rock,5fsU7AtSTp0zySUf46hwbt,Just Between You And Me,1981
2S5hlvw4CMtMGswFtfdK15,Royal Blood,Rock,6voIJ7OWwRabSZDC77D5Hp,Trouble’s Coming,2021-04-30
1co4F2pPNH8JjTutZkmgSm,Ramones,Rock,4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remaster,1976-04-23
2cGwlqi3k18jFpUyTrsR84,The Verve,Rock,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,1997-09-29
711MCceyCBcFnzjGY4Q7Un,AC/DC,Rock,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,1980-07-25
2uH0RyPcX7fnCcT90HFDQX,Manic Street Preachers,Rock,2VmyLy2HQlkevZYboXHM5O,If You Tolerate This Your Children Will Be Next,1998-09-14
42TFhl7WlMRXiNqzSrnzPL,Lou Reed,Rock,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,1972-12-01
36E7oYfz3LLRto6l2WmDcD,Pulp,Rock,2fXKyAyPrEa24c6PJyqznF,Common People,1995-10-30
4BFMTELQyWJU1SwqcXMBm3,The Stooges,Rock,79MMMdYL00iwKVHBSAUkLY,I Wanna Be Your Dog - 2019 Remaster,1969-01-01
0KyCXNSa7ZMb5LydfKbLG3,David Lee Roth,Rock,5ZY7Gug850kv4heJcWZGHM,Just Like Paradise,1988-01-26
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,Rock,6zC0mpGYwbNTpk9SKwh08f,Wonderful Tonight,1977-11-01
33EUXrFKGjpUSGacqEHhU4,Iggy Pop,Rock,24FmdHoCr2jZGE6Z6dZbJT,The Passenger,1977-01-01
5BcZ22XONcRoLhTbZRuME1,The Moody Blues,Rock,6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono Mix,1967-11-10
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Rock,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,1977-09-16
6vLlQYujOujIrm7zAKzEdG,Donovan,Rock,6MOEQCtAWNSCmvg3SFKF5y,Season of the Witch,1966-09
12Chz98pHFMPJEknJQMWvI,Muse,Rock,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,2006-06-19
3BVkDHWRvLJEyKdvhLbjsq,W.A.S.P.,Rock,6w8dBm5KlXxWejYrbGS1EJ,I Wanna Be Somebody,1984
2e53aHBQdCMKWqHDuyJsjC,Free,Rock,2Wf4IsWzhBgVR9uUDuktFB,All Right Now,1970
3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,Rock,6XUHsYE38CEbYunT983O9G,Give A Little Bit,1977-01-01
0XHiH53dHrvbwfjYM7en7I,Chris Cornell,Rock,0cMyMeOTBeweBZRfP6MJ6e,Patience,2020-12-11
4FZ3j1oH43e7cukCALsCwf,Jack White,Rock,3T76zPJz3tWL27FrjJe2ot,Lazaretto,2014-06-10
2OgUPVlWYgGBGMefZgGvCO,Queensrÿche,Rock,6OSyCAmXT4Gkd3OQ2aPOaF,Silent Lucidity - Remastered 2003,1990
74ASZWbe4lXaubB36ztrGX,Bob Dylan,Rock,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,1965-08-30
2hO4YtXUFJiUYS2uYFvHNK,Traveling Wilburys,Rock,4HA2jo7wkMdN1lmLO6ryzE,End Of The Line,1988-10-18
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,Rock,37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,1978-10-07
2jgPkn6LuUazBoBk6vvjh5,The Zombies,Rock,3vMfr8H7hGbOLoddLdCQU4,Time Of The Season,1968-01-01
2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,Rock,0qxYx4F3vm1AOnfux6dDxP,You Can Call Me Al,1986-08-12
6urzdpGY5yUimWZsgJUoTb,Airbourne,Rock,1wXuogT7bvqnhuWzDBNOdV,Runnin' Wild,2007-01-01
3fhOTtm0LBJ3Ojn4hIljLo,Roxy Music,Rock,6N7gPTru90HYLRUIVDQ185,More Than This,1982-05-01
0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,Rock,2fAIfPLrPUTW1AmJRR428Q,Ruby,2007-01-01
